Date,SH
6/1/2020 0:00,-17.27096487
6/1/2020 1:00,-17.68640579
6/1/2020 2:00,-18.80021838
6/1/2020 3:00,-10.77838734
6/1/2020 4:00,-11.20937061
6/1/2020 5:00,-17.33928554
6/1/2020 6:00,76.69357949
6/1/2020 7:00,43.62777253
6/1/2020 8:00,57.48046062
6/1/2020 9:00,78.50122978
6/1/2020 10:00,129.9772336
6/1/2020 11:00,163.8069219
6/1/2020 12:00,155.482021
6/1/2020 13:00,554.8802965
6/1/2020 14:00,2142.91973
6/1/2020 15:00,413.9288829
6/1/2020 16:00,306.1887434
6/1/2020 17:00,379.788549
6/1/2020 18:00,306.3723843
6/1/2020 19:00,15.35487994
6/1/2020 20:00,16.24091196
6/1/2020 21:00,1.316161632
6/1/2020 22:00,-19.54595614
6/1/2020 23:00,-5.4757741
6/2/2020 0:00,-6.154202871
6/2/2020 1:00,-17.96637968
6/2/2020 2:00,-18.33334654
6/2/2020 3:00,-7.299537982
6/2/2020 4:00,-6.888023365
6/2/2020 5:00,-17.8521747
6/2/2020 6:00,44.8192557
6/2/2020 7:00,30.62957593
6/2/2020 8:00,61.83070743
6/2/2020 9:00,12.24112671
6/2/2020 10:00,105.3450808
6/2/2020 11:00,109.911748
6/2/2020 12:00,174.6556823
6/2/2020 13:00,2210.320125
6/2/2020 14:00,670.6949336
6/2/2020 15:00,1829.226207
6/2/2020 16:00,420.7565291
6/2/2020 17:00,347.3619963
6/2/2020 18:00,430.5929141
6/2/2020 19:00,9.225415027
6/2/2020 20:00,3.351715423
6/2/2020 21:00,15.82179899
6/2/2020 22:00,-5.544523424
6/2/2020 23:00,-16.88929011
6/3/2020 0:00,-13.72464786
6/3/2020 1:00,-8.70590275
6/3/2020 2:00,-14.71822429
6/3/2020 3:00,-9.574274184
6/3/2020 4:00,-10.82710283
6/3/2020 5:00,-16.84468952
6/3/2020 6:00,65.94285261
6/3/2020 7:00,18.04916793
6/3/2020 8:00,22.97910506
6/3/2020 9:00,25.61724706
6/3/2020 10:00,163.0073048
6/3/2020 11:00,166.3963887
6/3/2020 12:00,101.8522738
6/3/2020 13:00,217.2015049
6/3/2020 14:00,347.501617
6/3/2020 15:00,1547.859289
6/3/2020 16:00,313.9804338
6/3/2020 17:00,478.5502041
6/3/2020 18:00,416.6658196
6/3/2020 19:00,10.74416097
6/3/2020 20:00,10.45636878
6/3/2020 21:00,10.31719796
6/3/2020 22:00,-14.09366591
6/3/2020 23:00,-9.156219219
6/4/2020 0:00,-14.73710694
6/4/2020 1:00,-18.93500656
6/4/2020 2:00,-17.69671499
6/4/2020 3:00,-14.3560599
6/4/2020 4:00,-15.38104663
6/4/2020 5:00,-15.91161465
6/4/2020 6:00,27.18863075
6/4/2020 7:00,32.04778623
6/4/2020 8:00,31.46950561
6/4/2020 9:00,13.80793909
6/4/2020 10:00,170.1152702
6/4/2020 11:00,153.0536063
6/4/2020 12:00,144.4247842
6/4/2020 13:00,2059.761275
6/4/2020 14:00,2485.786473
6/4/2020 15:00,2253.576709
6/4/2020 16:00,412.7160174
6/4/2020 17:00,355.8047884
6/4/2020 18:00,393.4747921
6/4/2020 19:00,5.602000066
6/4/2020 20:00,17.66766345
6/4/2020 21:00,19.30905886
6/4/2020 22:00,-19.20316982
6/4/2020 23:00,-16.83400538
6/5/2020 0:00,-10.38653458
6/5/2020 1:00,-15.21727206
6/5/2020 2:00,-14.75810757
6/5/2020 3:00,-15.27373129
6/5/2020 4:00,-13.09995867
6/5/2020 5:00,-10.21211081
6/5/2020 6:00,39.59904141
6/5/2020 7:00,32.17095945
6/5/2020 8:00,43.36012415
6/5/2020 9:00,55.77812574
6/5/2020 10:00,124.4906592
6/5/2020 11:00,145.2369204
6/5/2020 12:00,118.2109556
6/5/2020 13:00,2310.814267
6/5/2020 14:00,1722.906445
6/5/2020 15:00,2384.018153
6/5/2020 16:00,355.4078788
6/5/2020 17:00,439.8999414
6/5/2020 18:00,308.3461797
6/5/2020 19:00,0.775527627
6/5/2020 20:00,13.68889614
6/5/2020 21:00,-3.426422499
6/5/2020 22:00,-6.458421774
6/5/2020 23:00,-5.07945436
6/6/2020 0:00,-17.54350772
6/6/2020 1:00,-8.656947509
6/6/2020 2:00,-10.15716759
6/6/2020 3:00,-18.55129532
6/6/2020 4:00,-19.52270403
6/6/2020 5:00,-7.76148666
6/6/2020 6:00,28.30355414
6/6/2020 7:00,65.59584558
6/6/2020 8:00,22.33587373
6/6/2020 9:00,14.46866127
6/6/2020 10:00,161.6853452
6/6/2020 11:00,129.881407
6/6/2020 12:00,143.2146942
6/6/2020 13:00,313.5444169
6/6/2020 14:00,2488.250498
6/6/2020 15:00,1604.3749
6/6/2020 16:00,320.142387
6/6/2020 17:00,454.7254856
6/6/2020 18:00,322.1196573
6/6/2020 19:00,-1.880531775
6/6/2020 20:00,1.678176486
6/6/2020 21:00,17.10694569
6/6/2020 22:00,-7.765268796
6/6/2020 23:00,-5.141825694
6/7/2020 0:00,-7.035994146
6/7/2020 1:00,-15.35802235
6/7/2020 2:00,-13.30686243
6/7/2020 3:00,-7.802066832
6/7/2020 4:00,-18.005213
6/7/2020 5:00,-13.73258066
6/7/2020 6:00,19.25927219
6/7/2020 7:00,62.9754075
6/7/2020 8:00,10.62238402
6/7/2020 9:00,16.51881207
6/7/2020 10:00,174.6021414
6/7/2020 11:00,128.5069704
6/7/2020 12:00,153.2222642
6/7/2020 13:00,1425.129077
6/7/2020 14:00,1581.426079
6/7/2020 15:00,250.2359482
6/7/2020 16:00,317.0236292
6/7/2020 17:00,452.1887789
6/7/2020 18:00,460.8678801
6/7/2020 19:00,0.873921631
6/7/2020 20:00,13.28793667
6/7/2020 21:00,-1.248622765
6/7/2020 22:00,-7.330827745
6/7/2020 23:00,-7.107265236
6/8/2020 0:00,-16.32207369
6/8/2020 1:00,-19.94789629
6/8/2020 2:00,-6.911875343
6/8/2020 3:00,-8.921554507
6/8/2020 4:00,-17.94080914
6/8/2020 5:00,-13.24629463
6/8/2020 6:00,52.68249064
6/8/2020 7:00,44.37019381
6/8/2020 8:00,33.08442427
6/8/2020 9:00,20.76704179
6/8/2020 10:00,113.2660076
6/8/2020 11:00,148.6794789
6/8/2020 12:00,159.7750464
6/8/2020 13:00,662.8075619
6/8/2020 14:00,1493.04093
6/8/2020 15:00,536.9181153
6/8/2020 16:00,380.4240894
6/8/2020 17:00,456.3566705
6/8/2020 18:00,362.6474888
6/8/2020 19:00,5.633015372
6/8/2020 20:00,-0.525117474
6/8/2020 21:00,1.229484238
6/8/2020 22:00,-14.30718901
6/8/2020 23:00,-17.74790641
6/9/2020 0:00,-12.46689112
6/9/2020 1:00,-10.22360352
6/9/2020 2:00,-17.18851237
6/9/2020 3:00,-19.37723649
6/9/2020 4:00,-14.61484311
6/9/2020 5:00,-9.943456953
6/9/2020 6:00,18.56816057
6/9/2020 7:00,31.58578615
6/9/2020 8:00,65.51353987
6/9/2020 9:00,77.51054016
6/9/2020 10:00,104.030311
6/9/2020 11:00,127.833052
6/9/2020 12:00,133.9633257
6/9/2020 13:00,2160.348539
6/9/2020 14:00,2212.275153
6/9/2020 15:00,2376.19491
6/9/2020 16:00,347.9097757
6/9/2020 17:00,319.0387139
6/9/2020 18:00,368.7774571
6/9/2020 19:00,7.289559422
6/9/2020 20:00,19.87126061
6/9/2020 21:00,12.08754374
6/9/2020 22:00,-12.50330333
6/9/2020 23:00,-19.30754231
6/10/2020 0:00,-12.62792898
6/10/2020 1:00,-11.77847853
6/10/2020 2:00,-10.05720421
6/10/2020 3:00,-8.460661191
6/10/2020 4:00,-14.90757944
6/10/2020 5:00,-6.691336822
6/10/2020 6:00,41.97092053
6/10/2020 7:00,35.05946093
6/10/2020 8:00,60.89898683
6/10/2020 9:00,71.80916159
6/10/2020 10:00,128.965757
6/10/2020 11:00,138.7622852
6/10/2020 12:00,147.0013868
6/10/2020 13:00,2072.886144
6/10/2020 14:00,878.8617388
6/10/2020 15:00,300.6227624
6/10/2020 16:00,340.1377445
6/10/2020 17:00,480.3288525
6/10/2020 18:00,356.7086266
6/10/2020 19:00,17.317374
6/10/2020 20:00,15.99954388
6/10/2020 21:00,1.385373607
6/10/2020 22:00,-19.94295132
6/10/2020 23:00,-10.82536368
6/11/2020 0:00,-15.59728574
6/11/2020 1:00,-16.73840165
6/11/2020 2:00,-6.993512012
6/11/2020 3:00,-10.48946977
6/11/2020 4:00,-15.79882055
6/11/2020 5:00,-7.067993517
6/11/2020 6:00,54.00368328
6/11/2020 7:00,67.6497935
6/11/2020 8:00,18.4679755
