Date,H
1/1/2021 1:00,539.2288374
1/1/2021 2:00,615.8163781
1/1/2021 3:00,517.6877154
1/1/2021 4:00,737.5394926
1/1/2021 5:00,769.6612565
1/1/2021 6:00,1021.092712
1/1/2021 7:00,1191.434107
1/1/2021 8:00,1063.314656
1/1/2021 9:00,1193.791792
1/1/2021 10:00,1124.597762
1/1/2021 11:00,1185.040908
1/1/2021 12:00,1160.46789
1/1/2021 13:00,1012.633811
1/1/2021 14:00,1392.848974
1/1/2021 15:00,1237.839719
1/1/2021 16:00,1405.611986
1/1/2021 17:00,1433.670654
1/1/2021 18:00,1471.00734
1/1/2021 19:00,1091.33594
1/1/2021 20:00,992.5749006
1/1/2021 21:00,942.9501238
1/1/2021 22:00,722.8556514
1/1/2021 23:00,685.7004639
1/2/2021 0:00,508.1923345
1/2/2021 1:00,651.7196017
1/2/2021 2:00,695.2520898
1/2/2021 3:00,577.0409327
1/2/2021 4:00,538.9932671
1/2/2021 5:00,615.9268704
1/2/2021 6:00,1108.96722
1/2/2021 7:00,1170.713744
1/2/2021 8:00,1162.326649
1/2/2021 9:00,1093.280042
1/2/2021 10:00,1190.004886
1/2/2021 11:00,1185.512768
1/2/2021 12:00,1122.187648
1/2/2021 13:00,1378.962515
1/2/2021 14:00,1263.63946
1/2/2021 15:00,926.514547
1/2/2021 16:00,1476.812421
1/2/2021 17:00,1444.460231
1/2/2021 18:00,1474.838823
1/2/2021 19:00,1073.133574
1/2/2021 20:00,1080.47469
1/2/2021 21:00,1001.628242
1/2/2021 22:00,636.0489969
1/2/2021 23:00,514.7278273
1/3/2021 0:00,503.9773966
1/3/2021 1:00,605.9619989
1/3/2021 2:00,661.8577458
1/3/2021 3:00,602.8649064
1/3/2021 4:00,731.7374508
1/3/2021 5:00,573.9510383
1/3/2021 6:00,1131.336312
1/3/2021 7:00,1018.587339
1/3/2021 8:00,1069.13774
1/3/2021 9:00,1028.838302
1/3/2021 10:00,1169.188505
1/3/2021 11:00,1175.249906
1/3/2021 12:00,1182.014195
1/3/2021 13:00,990.3135205
1/3/2021 14:00,1076.030829
1/3/2021 15:00,1038.531098
1/3/2021 16:00,1431.017221
1/3/2021 17:00,1356.514721
1/3/2021 18:00,1382.936722
1/3/2021 19:00,1048.102798
1/3/2021 20:00,1005.099041
1/3/2021 21:00,1026.334795
1/3/2021 22:00,770.5321773
1/3/2021 23:00,656.981868
1/4/2021 0:00,505.2742176
1/4/2021 1:00,592.8630938
1/4/2021 2:00,747.247998
1/4/2021 3:00,514.9286499
1/4/2021 4:00,688.0178458
1/4/2021 5:00,563.4618078
1/4/2021 6:00,1035.516366
1/4/2021 7:00,1179.743593
1/4/2021 8:00,1199.80863
1/4/2021 9:00,1018.631678
1/4/2021 10:00,1126.344601
1/4/2021 11:00,1148.265088
1/4/2021 12:00,1196.611131
1/4/2021 13:00,1173.477735
1/4/2021 14:00,1229.195833
1/4/2021 15:00,1092.037583
1/4/2021 16:00,1471.270382
1/4/2021 17:00,1403.466634
1/4/2021 18:00,1472.437103
1/4/2021 19:00,1029.035992
1/4/2021 20:00,1073.177519
1/4/2021 21:00,976.6140206
1/4/2021 22:00,593.1610452
1/4/2021 23:00,773.6303628
1/5/2021 0:00,732.1330415
1/5/2021 1:00,526.396565
1/5/2021 2:00,723.6527768
1/5/2021 3:00,520.7071514
1/5/2021 4:00,770.292799
1/5/2021 5:00,596.6882265
1/5/2021 6:00,1161.511614
1/5/2021 7:00,1095.318542
1/5/2021 8:00,1166.064534
1/5/2021 9:00,1182.318487
1/5/2021 10:00,1172.664242
1/5/2021 11:00,1161.199106
1/5/2021 12:00,1126.943653
1/5/2021 13:00,1197.864978
1/5/2021 14:00,1096.210279
1/5/2021 15:00,1195.639266
1/5/2021 16:00,1454.964772
1/5/2021 17:00,1427.053151
1/5/2021 18:00,1463.853913
1/5/2021 19:00,1038.528711
1/5/2021 20:00,1072.673129
1/5/2021 21:00,947.6619435
1/5/2021 22:00,565.2245307
1/5/2021 23:00,711.5429953
1/6/2021 0:00,775.3037157
1/6/2021 1:00,720.9793643
1/6/2021 2:00,676.5429739
1/6/2021 3:00,788.154189
1/6/2021 4:00,545.8099932
1/6/2021 5:00,615.6892516
1/6/2021 6:00,1188.743524
1/6/2021 7:00,1144.934525
1/6/2021 8:00,1157.174769
1/6/2021 9:00,1176.946398
1/6/2021 10:00,1115.255899
1/6/2021 11:00,1182.938063
1/6/2021 12:00,1104.343161
1/6/2021 13:00,1367.385547
1/6/2021 14:00,1037.405675
1/6/2021 15:00,1234.20198
1/6/2021 16:00,1436.785889
1/6/2021 17:00,1317.013469
1/6/2021 18:00,1392.356324
1/6/2021 19:00,911.5006457
1/6/2021 20:00,930.8990812
1/6/2021 21:00,1051.494974
1/6/2021 22:00,566.8502652
1/6/2021 23:00,661.2607621
1/7/2021 0:00,723.6291648
1/7/2021 1:00,647.6371259
1/7/2021 2:00,605.587194
1/7/2021 3:00,765.1891095
1/7/2021 4:00,519.7688753
1/7/2021 5:00,547.107707
1/7/2021 6:00,1182.068581
1/7/2021 7:00,1168.812679
1/7/2021 8:00,1018.579691
1/7/2021 9:00,1025.600349
1/7/2021 10:00,1172.725982
1/7/2021 11:00,1197.729986
1/7/2021 12:00,1157.882975
1/7/2021 13:00,899.4410353
1/7/2021 14:00,1216.446253
1/7/2021 15:00,1085.176781
1/7/2021 16:00,1348.308433
1/7/2021 17:00,1358.175141
1/7/2021 18:00,1328.295885
1/7/2021 19:00,944.915996
1/7/2021 20:00,1047.811936
1/7/2021 21:00,1094.757202
1/7/2021 22:00,776.8879018
1/7/2021 23:00,602.8403226
1/8/2021 0:00,720.350616
1/8/2021 1:00,572.9873222
1/8/2021 2:00,535.1961101
1/8/2021 3:00,596.7313113
1/8/2021 4:00,620.59658
1/8/2021 5:00,531.6297172
1/8/2021 6:00,1159.733105
1/8/2021 7:00,1061.970472
1/8/2021 8:00,1096.404169
1/8/2021 9:00,1003.856517
1/8/2021 10:00,1123.934206
1/8/2021 11:00,1104.814379
1/8/2021 12:00,1190.407314
1/8/2021 13:00,1002.541935
1/8/2021 14:00,906.2459695
1/8/2021 15:00,970.4576752
1/8/2021 16:00,1343.451324
1/8/2021 17:00,1412.35052
1/8/2021 18:00,1373.329525
1/8/2021 19:00,912.1827222
1/8/2021 20:00,923.2146931
1/8/2021 21:00,1096.77213
1/8/2021 22:00,673.6210341
1/8/2021 23:00,623.0273241
1/9/2021 0:00,563.3841149
1/9/2021 1:00,681.0904223
1/9/2021 2:00,711.5996053
1/9/2021 3:00,562.2148757
1/9/2021 4:00,603.1657465
1/9/2021 5:00,752.0274947
1/9/2021 6:00,1093.03209
1/9/2021 7:00,1104.295522
