Date,WS
1/1/2018 0:00,0.195686952
1/1/2018 1:00,0.198555166
1/1/2018 2:00,0.190320335
1/1/2018 3:00,0.160584402
1/1/2018 4:00,0.161259998
1/1/2018 5:00,0.177508822
1/1/2018 6:00,0.394918012
1/1/2018 7:00,0.351150589
1/1/2018 8:00,0.343871543
1/1/2018 9:00,0.370200721
1/1/2018 10:00,0.461466719
1/1/2018 11:00,0.42674035
1/1/2018 12:00,0.416666809
1/1/2018 13:00,0.533376406
1/1/2018 14:00,0.590674653
1/1/2018 15:00,0.510346304
1/1/2018 16:00,1.130762877
1/1/2018 17:00,1.336675891
1/1/2018 18:00,1.284677495
1/1/2018 19:00,0.454456809
1/1/2018 20:00,0.457727965
1/1/2018 21:00,0.521806106
1/1/2018 22:00,0.154662157
1/1/2018 23:00,0.197400409
1/2/2018 0:00,0.100793152
1/2/2018 1:00,0.160752153
1/2/2018 2:00,0.133142942
1/2/2018 3:00,0.105421416
1/2/2018 4:00,0.191023494
1/2/2018 5:00,0.154815217
1/2/2018 6:00,0.307411734
1/2/2018 7:00,0.355978939
1/2/2018 8:00,0.34355798
1/2/2018 9:00,0.326889962
1/2/2018 10:00,0.526895548
1/2/2018 11:00,0.488713535
1/2/2018 12:00,0.417928394
1/2/2018 13:00,0.678163535
1/2/2018 14:00,0.570143227
1/2/2018 15:00,0.674692279
1/2/2018 16:00,1.08621818
1/2/2018 17:00,1.493610753
1/2/2018 18:00,1.499722582
1/2/2018 19:00,0.596083148
1/2/2018 20:00,0.565344332
1/2/2018 21:00,0.488771387
1/2/2018 22:00,0.186285487
1/2/2018 23:00,0.17387406
1/3/2018 0:00,0.135655579
1/3/2018 1:00,0.134918531
1/3/2018 2:00,0.185542355
1/3/2018 3:00,0.169878891
1/3/2018 4:00,0.177634672
1/3/2018 5:00,0.105225907
1/3/2018 6:00,0.391812847
1/3/2018 7:00,0.301588844
1/3/2018 8:00,0.317427665
1/3/2018 9:00,0.361866118
1/3/2018 10:00,0.456267934
1/3/2018 11:00,0.526644765
1/3/2018 12:00,0.506045028
1/3/2018 13:00,0.521678799
1/3/2018 14:00,0.513233544
